cod_localidad;localidad
11;SUBA
17;CANDELARIA
08;KENNEDY
12;BARRIOS UNIDOS
10;ENGATIVÁ
04;SAN CRISTÓBAL
18;RAFAEL URIBE URIBE
09;FONTIBÓN
16;PUENTE ARANDA
07;BOSA
02;CHAPINERO
01;USAQUÉN
19;CIUDAD BOLÍVAR
14;LOS MÁRTIRES
05;USME
03;SANTA FE
13;TEUSAQUILLO
99;SIN LOCALIZACION
15;ANTONIO NARIÑO
06;TUNJUELITO
-;-
20;SUMAPAZ
